Time, BT20, BT20, Pol, BLE2
02/23/2017 10:35:06,0,0,0,0
02/23/2017 10:35:07,0,0,75,0
02/23/2017 10:35:08,0,0,76,0
02/23/2017 10:35:09,0,0,75,0
02/23/2017 10:35:10,0,0,75,0
02/23/2017 10:35:11,0,0,74,0
02/23/2017 10:35:12,0,0,73,0
02/23/2017 10:35:13,0,0,72,0
02/23/2017 10:35:14,0,0,72,0
02/23/2017 10:35:15,0,0,72,0
02/23/2017 10:35:16,0,0,73,0
02/23/2017 10:35:17,0,0,73,0
02/23/2017 10:35:18,0,0,75,0
02/23/2017 10:35:19,0,0,76,0
02/23/2017 10:35:20,0,0,77,0
02/23/2017 10:35:21,0,0,77,0
02/23/2017 10:35:22,0,0,76,0
02/23/2017 10:35:23,0,0,77,0
02/23/2017 10:35:24,0,0,79,0
02/23/2017 10:35:25,0,0,81,0
02/23/2017 10:35:26,0,0,83,0
02/23/2017 10:35:27,0,0,87,0
02/23/2017 10:35:28,0,0,90,0
02/23/2017 10:35:29,0,0,92,0
02/23/2017 10:35:30,0,0,94,0
02/23/2017 10:35:31,0,0,97,0
02/23/2017 10:35:32,0,0,97,0
02/23/2017 10:35:33,0,0,99,0
02/23/2017 10:35:34,0,0,101,0
02/23/2017 10:35:35,0,0,101,0
02/23/2017 10:35:36,0,0,102,0
02/23/2017 10:35:37,0,0,103,0
02/23/2017 10:35:38,0,0,103,0
02/23/2017 10:35:39,0,0,104,0
02/23/2017 10:35:40,0,0,104,0
02/23/2017 10:35:41,0,0,104,0
02/23/2017 10:35:42,0,0,104,0
02/23/2017 10:35:43,0,0,105,0
02/23/2017 10:35:44,0,0,106,0
02/23/2017 10:35:45,0,0,106,0
02/23/2017 10:35:46,0,0,107,0
02/23/2017 10:35:47,0,0,108,0
02/23/2017 10:35:48,0,0,109,0
02/23/2017 10:35:49,0,0,110,0
02/23/2017 10:35:50,0,0,111,0
02/23/2017 10:35:51,0,0,111,0
02/23/2017 10:35:52,0,0,110,0
02/23/2017 10:35:53,0,0,110,0
02/23/2017 10:35:54,0,0,109,0
02/23/2017 10:35:55,0,0,109,0
02/23/2017 10:35:56,0,0,109,0
02/23/2017 10:35:57,0,0,109,0
02/23/2017 10:35:58,0,0,110,0
02/23/2017 10:35:59,0,0,110,0
02/23/2017 10:36:00,0,0,111,0
02/23/2017 10:36:01,0,0,111,0
02/23/2017 10:36:02,0,0,111,0
02/23/2017 10:36:03,0,0,111,0
02/23/2017 10:36:04,0,0,111,0
02/23/2017 10:36:05,0,0,112,0
02/23/2017 10:36:06,0,0,112,0
02/23/2017 10:36:07,0,0,114,0
02/23/2017 10:36:08,0,0,114,0
02/23/2017 10:36:09,0,0,116,0
02/23/2017 10:36:10,0,0,117,0
02/23/2017 10:36:11,0,0,117,0
02/23/2017 10:36:12,0,0,117,0
02/23/2017 10:36:13,0,0,117,0
02/23/2017 10:36:14,0,0,117,0
02/23/2017 10:36:15,0,0,116,0
02/23/2017 10:36:16,0,0,115,0
02/23/2017 10:36:17,0,0,115,0
02/23/2017 10:36:19,0,0,114,0
02/23/2017 10:36:20,0,0,114,0
02/23/2017 10:36:21,0,0,114,0
02/23/2017 10:36:22,0,0,113,0
02/23/2017 10:36:23,0,0,113,0
02/23/2017 10:36:24,0,0,113,0
02/23/2017 10:36:25,0,0,113,0
02/23/2017 10:36:26,0,0,113,0
02/23/2017 10:36:27,0,0,114,0
02/23/2017 10:36:28,0,0,114,0
02/23/2017 10:36:29,0,0,114,0
02/23/2017 10:36:30,0,0,114,0
02/23/2017 10:36:31,0,0,114,0
02/23/2017 10:36:32,0,0,115,0
02/23/2017 10:36:33,0,0,115,0
02/23/2017 10:36:34,0,0,115,0
02/23/2017 10:36:35,0,0,116,0
02/23/2017 10:36:36,0,0,116,0
02/23/2017 10:36:37,0,0,117,0
02/23/2017 10:36:38,0,0,117,0
02/23/2017 10:36:39,0,0,118,0
02/23/2017 10:36:40,0,0,119,0
02/23/2017 10:36:41,0,0,119,0
02/23/2017 10:36:42,0,0,119,0
02/23/2017 10:36:43,0,0,119,0
02/23/2017 10:36:44,0,0,119,0
02/23/2017 10:36:45,0,0,119,0
02/23/2017 10:36:46,0,0,119,0
02/23/2017 10:36:47,0,0,118,0
02/23/2017 10:36:48,0,0,118,0
02/23/2017 10:36:49,0,0,118,0
02/23/2017 10:36:50,0,0,118,0
02/23/2017 10:36:51,0,0,118,0
02/23/2017 10:36:52,0,0,118,0
02/23/2017 10:36:53,0,0,118,0
02/23/2017 10:36:54,0,0,119,0
02/23/2017 10:36:55,0,0,119,0
02/23/2017 10:36:56,0,0,120,0
02/23/2017 10:36:57,0,0,120,0
02/23/2017 10:36:58,0,0,121,0
02/23/2017 10:36:59,0,0,121,0
02/23/2017 10:37:00,0,0,121,0
02/23/2017 10:37:01,0,0,121,0
02/23/2017 10:37:02,0,0,122,0
02/23/2017 10:37:03,0,0,122,0
02/23/2017 10:37:04,0,0,123,0
02/23/2017 10:37:05,0,0,124,0
02/23/2017 10:37:06,0,0,124,0
02/23/2017 10:37:07,0,0,125,0
02/23/2017 10:37:08,0,0,126,0
02/23/2017 10:37:09,0,0,126,0
02/23/2017 10:37:10,0,0,126,0
02/23/2017 10:37:11,0,0,126,0
02/23/2017 10:37:12,0,0,126,0
02/23/2017 10:37:13,0,0,126,0
02/23/2017 10:37:14,0,0,126,0
02/23/2017 10:37:15,0,0,125,0
02/23/2017 10:37:16,0,0,125,0
02/23/2017 10:37:17,0,0,124,0
02/23/2017 10:37:18,0,0,124,0
02/23/2017 10:37:19,0,0,123,0
02/23/2017 10:37:20,0,0,123,0
02/23/2017 10:37:21,0,0,123,0
02/23/2017 10:37:22,0,0,124,0
02/23/2017 10:37:23,0,0,124,0
02/23/2017 10:37:24,0,0,124,0
02/23/2017 10:37:25,0,0,124,0
02/23/2017 10:37:26,0,0,124,0
02/23/2017 10:37:27,0,0,123,0
02/23/2017 10:37:28,0,0,123,0
02/23/2017 10:37:29,0,0,122,0
02/23/2017 10:37:30,0,0,121,0
02/23/2017 10:37:31,0,0,120,0
02/23/2017 10:37:32,0,0,119,0
02/23/2017 10:37:33,0,0,119,0
02/23/2017 10:37:34,0,0,118,0
02/23/2017 10:37:35,0,0,117,0
02/23/2017 10:37:36,0,0,116,0
02/23/2017 10:37:37,0,0,115,0
02/23/2017 10:37:38,0,0,115,0
02/23/2017 10:37:39,0,0,114,0
02/23/2017 10:37:40,0,0,114,0
02/23/2017 10:37:41,0,0,114,0
02/23/2017 10:37:42,0,0,113,0
02/23/2017 10:37:43,0,0,113,0
02/23/2017 10:37:44,0,0,113,0
02/23/2017 10:37:45,0,0,112,0
02/23/2017 10:37:46,0,0,112,0
02/23/2017 10:37:47,0,0,112,0
02/23/2017 10:37:48,0,0,112,0
02/23/2017 10:37:49,0,0,112,0
02/23/2017 10:37:50,0,0,112,0
02/23/2017 10:37:51,0,0,113,0
02/23/2017 10:37:52,0,0,113,0
02/23/2017 10:37:53,0,0,113,0
02/23/2017 10:37:54,0,0,113,0
02/23/2017 10:37:55,0,0,113,0
02/23/2017 10:37:56,0,0,113,0
02/23/2017 10:37:57,0,0,112,0
02/23/2017 10:37:58,0,0,112,0
02/23/2017 10:37:59,0,0,112,0
02/23/2017 10:38:00,0,0,112,0
02/23/2017 10:38:01,0,0,111,0
02/23/2017 10:38:02,0,0,111,0
02/23/2017 10:38:03,0,0,111,0
02/23/2017 10:38:04,0,0,110,0
02/23/2017 10:38:05,0,0,110,0
02/23/2017 10:38:06,0,0,110,0
02/23/2017 10:38:07,0,0,110,0
02/23/2017 10:38:08,0,0,109,0
02/23/2017 10:38:09,0,0,110,0
02/23/2017 10:38:10,0,0,110,0
02/23/2017 10:38:11,0,0,111,0
02/23/2017 10:38:12,0,0,112,0
02/23/2017 10:38:13,0,0,112,0
02/23/2017 10:38:14,0,0,113,0
02/23/2017 10:38:15,0,0,113,0
02/23/2017 10:38:16,0,0,114,0
02/23/2017 10:38:17,0,0,115,0
02/23/2017 10:38:18,0,0,116,0
02/23/2017 10:38:19,0,0,117,0
02/23/2017 10:38:20,0,0,117,0
02/23/2017 10:38:21,0,0,118,0
02/23/2017 10:38:22,0,0,118,0
02/23/2017 10:38:23,0,0,118,0
02/23/2017 10:38:24,0,0,119,0
02/23/2017 10:38:25,0,0,119,0
02/23/2017 10:38:26,0,0,119,0
02/23/2017 10:38:27,0,0,118,0
02/23/2017 10:38:28,0,0,117,0
02/23/2017 10:38:29,0,0,116,0
02/23/2017 10:38:30,0,0,115,0
02/23/2017 10:38:31,0,0,114,0
02/23/2017 10:38:32,0,0,113,0
02/23/2017 10:38:33,0,0,112,0
02/23/2017 10:38:34,0,0,111,0
02/23/2017 10:38:35,0,0,111,0
02/23/2017 10:38:36,0,0,111,0
02/23/2017 10:38:37,0,0,111,0
02/23/2017 10:38:38,0,0,111,0
02/23/2017 10:38:39,0,0,111,0
02/23/2017 10:38:40,0,0,110,0
02/23/2017 10:38:41,0,0,110,0
02/23/2017 10:38:42,0,0,109,0
02/23/2017 10:38:43,0,0,109,0
02/23/2017 10:38:44,0,0,108,0
02/23/2017 10:38:45,0,0,108,0
02/23/2017 10:38:46,0,0,108,0
02/23/2017 10:38:47,0,0,108,0
02/23/2017 10:38:48,0,0,107,0
02/23/2017 10:38:49,0,0,107,0
02/23/2017 10:38:50,0,0,107,0
02/23/2017 10:38:51,0,0,107,0
02/23/2017 10:38:52,0,0,107,0
02/23/2017 10:38:53,0,0,107,0
02/23/2017 10:38:54,0,0,107,0
02/23/2017 10:38:55,0,0,107,0
02/23/2017 10:38:56,0,0,107,0
02/23/2017 10:38:57,0,0,107,0
02/23/2017 10:38:58,0,0,107,0
02/23/2017 10:38:59,0,0,108,0
02/23/2017 10:39:00,0,0,108,0
02/23/2017 10:39:01,0,0,108,0
02/23/2017 10:39:02,0,0,108,0
02/23/2017 10:39:03,0,0,109,0
02/23/2017 10:39:04,0,0,109,0
02/23/2017 10:39:05,0,0,109,0
02/23/2017 10:39:06,0,0,110,0
02/23/2017 10:39:07,0,0,110,0
02/23/2017 10:39:08,0,0,110,0
02/23/2017 10:39:09,0,0,110,0
02/23/2017 10:39:10,0,0,110,0
02/23/2017 10:39:11,0,0,109,0
02/23/2017 10:39:12,0,0,109,0
02/23/2017 10:39:13,0,0,109,0
02/23/2017 10:39:14,0,0,109,0
02/23/2017 10:39:15,0,0,108,0
02/23/2017 10:39:16,0,0,107,0
02/23/2017 10:39:17,0,0,107,0
02/23/2017 10:39:18,0,0,107,0
02/23/2017 10:39:19,0,0,107,0
02/23/2017 10:39:20,0,0,107,0
02/23/2017 10:39:21,0,0,108,0
02/23/2017 10:39:22,0,0,108,0
02/23/2017 10:39:23,0,0,109,0
02/23/2017 10:39:24,0,0,109,0
02/23/2017 10:39:25,0,0,110,0
02/23/2017 10:39:26,0,0,111,0
02/23/2017 10:39:27,0,0,112,0
02/23/2017 10:39:28,0,0,113,0
02/23/2017 10:39:29,0,0,114,0
02/23/2017 10:39:30,0,0,115,0
02/23/2017 10:39:31,0,0,115,0
02/23/2017 10:39:32,0,0,116,0
02/23/2017 10:39:33,0,0,116,0
02/23/2017 10:39:34,0,0,116,0
02/23/2017 10:39:35,0,0,117,0
02/23/2017 10:39:36,0,0,117,0
02/23/2017 10:39:37,0,0,117,0
02/23/2017 10:39:38,0,0,117,0
02/23/2017 10:39:39,0,0,118,0
02/23/2017 10:39:40,0,0,118,0
02/23/2017 10:39:41,0,0,119,0
02/23/2017 10:39:42,0,0,120,0
02/23/2017 10:39:43,0,0,121,0
02/23/2017 10:39:44,0,0,121,0
02/23/2017 10:39:45,0,0,122,0
02/23/2017 10:39:46,0,0,123,0
02/23/2017 10:39:47,0,0,123,0
02/23/2017 10:39:48,0,0,123,0
02/23/2017 10:39:49,0,0,123,0
02/23/2017 10:39:50,0,0,123,0
02/23/2017 10:39:51,0,0,122,0
02/23/2017 10:39:52,0,0,122,0
02/23/2017 10:39:53,0,0,122,0
02/23/2017 10:39:54,0,0,122,0
02/23/2017 10:39:55,0,0,122,0
02/23/2017 10:39:56,0,0,122,0
